避難場所_施設名称,地方公共団体コード,都道府県,指定市区町村名,所在地住所,緯度,経度,避難対象_洪水,避難対象_崖崩れ、土石流及び地滑り,避難対象_高潮,避難対象_地震,避難対象_津波,避難対象_大規模な火事,避難対象_内水氾濫,避難対象_火山現象,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
北の丸公園,131016,東京都,千代田区,東京都千代田区北の丸公園１ほか,35.69198,139.750564,0,0,0,1,0,0,0,0,0,0,0,0,
皇居東御苑,131016,東京都,千代田区,東京都千代田区千代田１,35.686863,139.757162,0,0,0,1,0,0,0,0,0,0,0,0,
皇居外苑,131016,東京都,千代田区,東京都千代田区皇居外苑１ほか,35.680258,139.757693,0,0,0,1,0,0,0,0,0,0,0,0,
日比谷公園,131016,東京都,千代田区,東京都千代田区日比谷公園１,35.673576,139.755893,0,0,0,1,0,0,0,0,0,0,0,0,
真田堀運動場,131016,東京都,千代田区,東京都千代田区紀尾井町５ほか,35.68278,139.731059,0,0,0,1,0,0,0,0,0,0,0,0,
外濠公園,131016,東京都,千代田区,東京都千代田区五番町先,35.68864,139.73097,0,0,0,1,0,0,0,0,0,0,0,0,
京橋区民館,131024,東京都,中央区,東京都中央区京橋2-6-7,35.676558,139.771358,1,0,1,1,0,0,1,0,1,1,0,1,自動ドア
京橋プラザ,131024,東京都,中央区,東京都中央区銀座1-25-3,35.673233,139.771678,1,0,1,1,0,0,1,0,1,1,1,1,自動ドア
泰明小学校,131024,東京都,中央区,東京都中央区銀座5-1-13,35.672333,139.761326,1,0,1,1,0,0,1,0,0,0,0,0,
銀座中学校,131024,東京都,中央区,東京都中央区銀座8-19-15,35.665698,139.765034,1,0,1,1,0,0,1,0,0,1,0,1,
中央小学校,131024,東京都,中央区,東京都中央区湊1-4-1,35.672201,139.778753,1,0,1,1,0,0,1,0,1,1,1,1,オストメイト設備
明石小学校,131024,東京都,中央区,東京都中央区明石町1-15,35.668438,139.776409,1,0,1,1,0,0,1,0,1,1,1,1,オストメイト設備
京橋築地小学校,131024,東京都,中央区,東京都中央区築地2-13-1,35.667959,139.771414,1,0,1,1,0,0,1,0,0,1,0,1,
京華スクエア,131024,東京都,中央区,東京都中央区八丁堀3-17-9,35.674903,139.775664,1,0,1,1,0,0,1,0,1,1,1,1,自動ドア
明正小学校,131024,東京都,中央区,東京都中央区新川2-13-4,35.67597,139.781569,1,0,1,1,0,0,1,0,1,1,1,1,オストメイト設備
常盤小学校,131024,東京都,中央区,東京都中央区日本橋本石町4-4-26,35.688476,139.770558,1,0,1,1,0,0,1,0,0,1,0,0,
十思スクエア,131024,東京都,中央区,東京都中央区日本橋小伝馬町5-1,35.690646,139.777104,1,0,1,1,0,0,1,0,1,1,1,1,自動ドア
日本橋小学校,131024,東京都,中央区,東京都中央区日本橋人形町1-1-17,35.684677,139.78141,1,0,1,1,0,0,1,0,1,1,0,1,
有馬小学校,131024,東京都,中央区,東京都中央区日本橋蛎殻町2-10-23,35.683272,139.787993,1,0,1,1,0,0,1,0,1,1,0,1,
久松小学校,131024,東京都,中央区,東京都中央区日本橋久松町7-2,35.689029,139.784316,1,0,1,1,0,0,1,0,1,1,0,1,
日本橋中学校,131024,東京都,中央区,東京都中央区東日本橋1-10-1,35.692498,139.787096,1,0,1,1,0,0,1,0,0,0,0,0,
阪本小学校,131024,東京都,中央区,東京都中央区日本橋兜町15-18,35.679697,139.776766,1,0,1,1,0,0,1,0,1,1,1,1,
佃島小学校,131024,東京都,中央区,東京都中央区佃2-3-1,35.668626,139.78458,1,0,1,1,1,0,1,0,1,1,0,1,
佃中学校,131024,東京都,中央区,東京都中央区佃2-3-2,35.668054,139.785119,1,0,1,1,1,0,1,0,1,1,0,1,
月島第一小学校,131024,東京都,中央区,東京都中央区月島4-15-1,35.660632,139.780067,1,0,1,1,1,0,1,0,0,1,0,1,
月島第二小学校,131024,東京都,中央区,東京都中央区勝どき1-12-2,35.660249,139.775825,1,0,1,1,1,0,1,0,1,1,0,1,
月島第三小学校,131024,東京都,中央区,東京都中央区晴海1-4-1,35.658852,139.785539,1,0,1,1,0,0,1,0,1,1,0,1,
晴海中学校,131024,東京都,中央区,東京都中央区晴海1-5-3,35.659827,139.784584,1,0,1,1,0,0,1,0,1,1,0,1,
豊海小学校,131024,東京都,中央区,東京都中央区豊海3-1,35.653533,139.771473,1,0,1,1,1,0,1,0,1,1,1,1,
中央区役所,131024,東京都,中央区,東京都中央区築地1-1-1,35.670585,139.772006,1,0,1,0,0,0,1,0,1,1,1,1,自動ドア・授乳室・オストメイト設備
日本橋区民センター,131024,東京都,中央区,東京都中央区日本橋蛎殻町1-31-1,35.682472,139.784308,1,0,1,0,0,0,1,0,1,1,1,1,自動ドア・オストメイト設備・大型ベッド
月島区民センター,131024,東京都,中央区,東京都中央区月島4-1-1,35.662063,139.78215,1,0,1,0,1,0,1,0,1,1,1,1,自動ドア・授乳室
ほっとプラザはるみ,131024,東京都,中央区,東京都中央区晴海5-2-3,35.65205,139.774787,1,0,1,1,0,0,1,0,1,1,1,1,自動ドア・ベビーベッド
生涯学習センター,131032,東京都,港区,東京都港区新橋3-16-3,35.66556,139.757102,0,1,0,1,0,0,0,0,1,1,1,1,玄関自動ドア
障害保健福祉センター,131032,東京都,港区,東京都港区芝1-8-23,35.651643,139.755555,0,0,0,0,0,0,0,0,1,1,1,1,
芝小学校,131032,東京都,港区,東京都港区芝2-21-3,35.651302,139.75018,1,1,1,1,0,0,0,0,1,0,0,1,
三田図書館,131032,東京都,港区,東京都港区芝5-28-4,35.64714,139.745222,0,0,0,0,1,0,0,0,1,1,1,1,音声誘導器・筆談器
御成門中学校,131032,東京都,港区,東京都港区西新橋3-25-30,35.661632,139.750369,1,1,0,1,0,0,0,0,1,1,0,1,
神明子ども中高生プラザ・神明いきいきプラザ,131032,東京都,港区,東京都港区浜松町1-6-7,35.658765,139.757662,0,1,1,1,0,0,0,0,1,1,1,1,自動ドア・オストメイト設備・授乳室
エコプラザ,131032,東京都,港区,東京都港区浜松町1-13-1,35.658849,139.756888,0,1,0,1,0,0,0,0,1,1,1,1,自動ドア・ベビーベッド
御成門小学校,131032,東京都,港区,東京都港区芝公園3-2-4,35.660984,139.749519,1,1,1,1,0,0,0,0,1,1,0,1,
みなと図書館,131032,東京都,港区,東京都港区芝公園3-2-25,35.659896,139.750124,0,0,0,0,1,0,0,0,1,1,1,1,音声誘導器・筆談器
三田中学校,131032,東京都,港区,東京都港区三田4-13-15,35.645227,139.740847,1,1,1,1,0,0,0,0,1,1,1,1,オストメイト設備
スポーツセンター,131032,東京都,港区,東京都港区芝浦1-16-1,35.646636,139.751789,0,1,0,1,0,0,0,0,1,1,1,1,自動ドア・授乳室・こども用トイレ
芝浦小学校,131032,東京都,港区,東京都港区芝浦4-8-18,35.638159,139.746311,1,1,1,1,0,0,0,0,1,1,1,1,オストメイト設備
芝浦アイランド児童高齢者交流プラザ,131032,東京都,港区,東京都港区芝浦4-20-1,35.640373,139.752419,0,0,0,0,0,0,0,0,1,1,1,1,昇降機・スローダン
みなとリサイクル清掃事務所,131032,東京都,港区,東京都港区港南3-9-59,35.634389,139.751393,0,0,0,0,1,0,0,0,1,1,1,1,
港南中学校,131032,東京都,港区,東京都港区港南4-3-3,35.631196,139.749112,1,1,0,1,0,0,0,0,1,1,0,1,
港南こども中高生プラザ(プラリバ）,131032,東京都,港区,東京都港区港南4-3-7,35.631148,139.749908,0,1,1,1,0,0,0,0,1,1,1,1,車椅子対応エレベーター・車椅子対応トイレ・自動ドア・オスメイト対応トイレ・ベビーベッド・ベビーチェア対応トイレ・大人用大型ベッド対応トイレ
港南図書館,131032,東京都,港区,東京都港区港南3-3-17,35.632963,139.749559,0,0,0,0,1,0,0,0,1,1,1,1,音声誘導器・筆談器
港南の郷,131032,東京都,港区,東京都港区港南3-3-23,35.633288,139.749211,0,0,0,0,1,0,0,0,1,1,1,1,
港南小学校,131032,東京都,港区,東京都港区港南4-3-28,35.62923,139.749645,1,1,0,1,0,0,0,0,1,1,1,1,オストメイト設備
お台場学園小・中学校,131032,東京都,港区,東京都港区台場1-1-5,35.633646,139.777123,1,1,1,1,0,0,0,0,1,1,1,1,
台場児童館,131032,東京都,港区,東京都港区台場1-5-1,35.630066,139.777042,0,0,0,0,0,0,0,0,0,1,0,1,
福祉プラザさくら川,131032,東京都,港区,東京都港区新橋6-19-2,35.661188,139.753786,0,1,0,1,0,0,0,0,1,1,0,1,
虎ノ門いきいきプラザ,131032,東京都,港区,東京都港区虎ノ門1-21-10,35.667906,139.748713,1,1,1,1,0,0,0,0,1,1,1,1,自動ドア・オストメイト設備
三田いきいきプラザ,131032,東京都,港区,東京都港区芝4-1-17,35.648753,139.749744,1,1,1,1,0,0,0,0,1,1,1,1,自動ドア・オストメイト設備
港勤労福祉会館,131032,東京都,港区,東京都港区芝5-18-2,35.647874,139.748513,1,1,0,1,0,0,0,0,0,1,1,1,オストメイト設備（だれでもトイレ内）
赤羽小学校,131032,東京都,港区,東京都港区三田1-4-52,35.653232,139.742522,1,1,1,1,0,0,0,0,0,1,0,1,
麻布小学校,131032,東京都,港区,東京都港区麻布台1-5-15,35.661831,139.738714,1,1,1,1,0,0,0,0,0,0,0,1,
晴海地区,130001,東京都,,東京都中央区晴海,35.65328179,139.779028,0,0,0,0,0,1,0,0,0,0,0,0,
新川ツインビル地区,130001,東京都,,東京都中央区新川,35.67449725,139.7844365,0,0,0,0,0,1,0,0,0,0,0,0,
佃リバーシティ地区,130001,東京都,,東京都中央区佃,35.66937197,139.7849755,0,0,0,0,0,1,0,0,0,0,0,0,
あかつき公園一帯,130001,東京都,,東京都中央区築地、明石町,35.666349,139.776264,0,0,0,0,0,1,0,0,0,0,0,0,
麻布区民センター,131032,東京都,港区,東京都港区六本木5-16-45,35.660737,139.735053,0,1,1,1,0,0,0,0,1,0,1,1,オストメイト設備
六本木中学校,131032,東京都,港区,東京都港区六本木6-8-16,35.660829,139.732256,1,1,1,1,0,0,0,0,1,1,1,1,
旧飯倉小学校,131032,東京都,港区,東京都港区東麻布2-1-1,35.658164,139.742563,1,1,1,1,0,0,0,0,0,0,0,0,
飯倉いきいきプラザ,131032,東京都,港区,東京都港区東麻布2-16-11,35.656904,139.740889,0,1,1,1,0,0,0,0,1,1,1,1,オストメイト設備
南麻布いきいきプラザ,131032,東京都,港区,東京都港区南麻布1-5-26,35.651435,139.735101,0,1,1,1,0,0,0,0,1,0,1,1,オストメイト設備
東町小学校,131032,東京都,港区,東京都港区南麻布1-8-11,35.650872,139.735835,0,1,0,1,0,0,0,0,1,0,0,0,
ありすいきいきプラザ・麻布子ども中高生プラザ,131032,東京都,港区,東京都港区南麻布4-6-7,35.651038,139.72741,1,1,1,1,0,0,0,0,1,0,1,1,おむつ交換台・オストメイト設備
本村小学校,131032,東京都,港区,東京都港区南麻布3-9-33,35.649818,139.72996,1,1,1,1,0,0,0,0,1,1,0,1,
笄小学校,131032,東京都,港区,東京都港区西麻布3-11-16,35.656504,139.724918,1,1,1,1,0,0,0,0,0,0,0,0,
高陵中学校,131032,東京都,港区,東京都港区西麻布4-14-8,35.656898,139.720394,1,1,1,1,0,0,0,0,1,1,1,1,オストメイト設備
南山小学校,131032,東京都,港区,東京都港区元麻布3-8-15,35.657257,139.731123,1,1,1,1,0,0,0,0,0,0,0,1,
赤坂区民センター,131032,東京都,港区,東京都港区赤坂4-18-13,35.674749,139.731634,1,1,1,1,0,0,0,0,1,0,0,1,オスメイト設備
サン・サン赤坂,131032,東京都,港区,東京都港区赤坂6-6-14,35.66976,139.737544,0,1,1,1,0,0,0,0,0,0,0,0,
青山中学校,131032,東京都,港区,東京都港区北青山1-1-9,35.674193,139.722154,1,1,1,1,0,0,0,0,0,0,0,1,
青山いきいきプラザ,131032,東京都,港区,東京都港区南青山2-16-5,35.669213,139.721211,1,1,1,1,0,0,0,0,1,1,1,1,自動ドア・オストメイト設備・点字標示板
青山小学校,131032,東京都,港区,東京都港区南青山2-21-2,35.669872,139.719059,0,1,1,1,0,0,0,0,0,0,0,1,
青南いきいきプラザ,131032,東京都,港区,東京都港区南青山4-10-1,35.666466,139.717313,1,1,1,1,0,0,0,0,1,1,1,1,自動ドア・オストメイト設備
青南小学校,131032,東京都,港区,東京都港区南青山4-21-15,35.663505,139.716144,1,1,1,1,0,0,0,0,0,0,0,0,
豊岡いきいきプラザ,131032,東京都,港区,東京都港区三田5-7-7,35.646502,139.739662,0,1,1,1,0,0,0,0,1,0,0,1,オストメイト設備・オムツ替えシート
高輪区民センター,131032,東京都,港区,東京都港区高輪1-16-25,35.64195,139.734104,0,1,1,1,0,0,0,0,1,1,1,1,
高輪子ども中高生プラザ,131032,東京都,港区,東京都港区高輪1-4-35,35.642419,139.734826,1,1,1,1,0,0,0,0,1,0,1,1,自動ドア
高輪台小学校,131032,東京都,港区,東京都港区高輪2-8-24,35.636238,139.734348,1,1,1,1,0,0,0,0,1,1,1,1,オストメイト設備
高輪いきいきプラザ,131032,東京都,港区,東京都港区高輪3-18-15,35.633251,139.735583,0,1,1,1,0,0,0,0,1,1,1,1,オストメイト設備・オムツ替えシート
白金いきいきプラザ,131032,東京都,港区,東京都港区白金3-10-12,35.644894,139.731074,0,1,1,1,0,0,0,0,1,1,1,1,オムツ替えシート
旧三光小学校,131032,東京都,港区,東京都港区白金3-18-2,35.644269,139.729135,1,1,1,1,0,0,0,0,1,1,0,1,
旧神応小学校,131032,東京都,港区,東京都港区白金6-9-5,35.643634,139.724507,1,1,1,1,0,0,0,0,1,0,0,0,
白金小学校,131032,東京都,港区,東京都港区白金台1-4-26,35.636812,139.72856,0,1,1,1,0,0,0,0,0,0,0,0,
白金台いきいきプラザ,131032,東京都,港区,東京都港区白金台4-8-5,35.637614,139.725057,1,1,1,1,0,0,0,0,1,0,1,1,オストメイト設備・オムツ替えシート
芝浦港南区民センター,131032,東京都,港区,東京都港区芝浦4-13-1,35.640524,139.74866,1,1,1,1,0,0,0,0,1,0,1,1,自動ドア・授乳室
港南いきいきプラザ,131032,東京都,港区,東京都港区港南4-2-1,35.629715,139.747075,0,1,0,1,0,0,0,0,1,1,1,1,オストメイト設備
台場区民センター,131032,東京都,港区,東京都港区台場1-5-1,35.629796,139.777012,1,1,1,1,0,0,0,0,1,0,1,1,自動ドア・授乳室
西麻布いきいきプラザ,131032,東京都,港区,東京都港区西麻布2-13-3,35.660855,139.722721,0,1,1,1,0,0,0,0,1,0,1,1,おむつ交換台・オストメイト設備
赤坂小学校,131032,東京都,港区,東京都港区赤坂8-13-29,35.669308,139.731031,0,1,1,1,0,0,0,0,1,1,0,1,
赤坂中学校,131032,東京都,港区,東京都港区赤坂9-2-3,35.668009,139.731015,0,0,0,1,0,0,0,0,1,1,1,1,
赤坂いきいきプラザ,131032,東京都,港区,東京都港区赤坂6-4-8,35.670358,139.734939,0,1,1,1,0,0,0,0,1,1,1,1,自動ドア・オストメイト設備・点字標示板
御田小学校,131032,東京都,港区,東京都港区三田4-11-38,35.643172,139.738034,1,1,1,1,0,0,0,0,0,0,0,0,
白金の丘学園白金の丘小・中学校,131032,東京都,港区,東京都港区白金4-1-12,35.643626,139.72684,1,1,1,1,0,0,0,0,1,1,1,1,オストメイト設備
高松中学校,131032,東京都,港区,東京都港区高輪1-16-25,35.640817,139.733771,0,0,1,1,0,0,0,0,1,1,0,1,
迎賓館一帯,130001,東京都,,東京都港区元赤坂、新宿区南元町、四谷、若葉,35.68023441,139.7287512,0,0,0,0,0,0,0,0,0,0,0,0,
芝公園・慶応大学一帯,130001,東京都,,東京都港区芝公園、三田,35.6573792,139.7472498,0,0,0,0,0,0,0,0,0,0,0,0,
高輪三丁目・四丁目・御殿山地区,130001,東京都,,東京都港区高輪、品川区北品川,35.63062116,139.7351626,0,0,0,0,0,0,0,0,0,0,0,0,
自然教育園・聖心女子学院一帯,130001,東京都,,東京都港区白金、白金台、品川区上大崎,35.63852886,139.7195746,0,0,0,0,0,0,0,0,0,0,0,0,
有栖川宮記念公園一帯,130001,東京都,,東京都港区南麻布,35.65167707,139.7265013,0,0,0,0,0,0,0,0,0,0,0,0,
青山墓地一帯,130001,東京都,,東京都港区南青山、六本木,35.66575902,139.7230347,0,0,0,0,0,0,0,0,0,0,0,0,
明治神宮外苑地区,130001,東京都,,東京都港区北青山、新宿区霞ヶ丘町、渋谷区神宮前、千駄ケ谷,35.67775338,139.7171293,0,0,0,0,0,0,0,0,0,0,0,0,
迎賓館一帯,130001,東京都,,東京都港区元赤坂、新宿区南元町、四谷、若葉,35.68023441,139.7287512,0,0,0,0,0,1,0,0,0,0,0,0,
戸山公園一帯,130001,東京都,,東京都新宿区大久保、戸山,35.70401633,139.7135665,0,0,0,0,0,1,0,0,0,0,0,0,
明治神宮外苑地区,130001,東京都,,東京都港区北青山、新宿区霞ヶ丘町、渋谷区神宮前、千駄ケ谷,35.67775338,139.7171293,0,0,0,0,0,1,0,0,0,0,0,0,
新宿御苑,130001,東京都,,東京都新宿区内藤町、渋谷区千駄ケ谷,35.68544234,139.7105405,0,0,0,0,0,1,0,0,0,0,0,0,
新宿中央公園・高層ビル群一帯,130001,東京都,,東京都新宿区西新宿,35.69119515,139.690472,0,0,0,0,0,1,0,0,0,0,0,0,
百人町三・四丁目地区,130001,東京都,,東京都新宿区百人町,35.7060489,139.6982317,0,0,0,0,0,1,0,0,0,0,0,0,
哲学堂公園一帯,130001,東京都,,東京都新宿区西落合、中井、中落合、東京都中野区上高田、松が丘,35.72263318,139.6743111,0,0,0,0,0,1,0,0,0,0,0,0,
早稲田大学早稲田キャンパス一帯,130001,東京都,,東京都新宿区戸塚町、西早稲田、早稲田鶴巻町,35.70963475,139.718687,0,0,0,0,0,1,0,0,0,0,0,0,
落合中央公園一帯,130001,東京都,,東京都新宿区上落合,35.71276959,139.69322,0,0,0,0,0,1,0,0,0,0,0,0,
おとめ山公園地区一帯,130001,東京都,,東京都新宿区下落合,35.718066,139.701488,0,0,0,0,0,1,0,0,0,0,0,0,
六義園,130001,東京都,,東京都文京区本駒込,35.73291125,139.746376,0,0,0,0,0,1,0,0,0,0,0,0,
東京大学,130001,東京都,,東京都文京区本郷、弥生,35.71165108,139.7618305,0,0,0,0,0,1,0,0,0,0,0,0,
後楽園一帯,130001,東京都,,東京都文京区春日、後楽,35.70584768,139.750585,0,0,0,0,0,1,0,0,0,0,0,0,
お茶の水女子大学一帯・教育の森公園一帯,130001,東京都,,東京都文京区大塚,35.71996115,139.7362569,0,0,0,0,0,1,0,0,0,0,0,0,
護国寺一帯,130001,東京都,,東京都文京区大塚,35.72199685,139.7262335,0,0,0,0,0,1,0,0,0,0,0,0,
小石川植物園,130001,東京都,,東京都文京区白山,35.71981799,139.744307,0,0,0,0,0,1,0,0,0,0,0,0,
目白台運動公園付近一帯,130001,東京都,,東京都文京区関口、目白台,35.71204229,139.725869,0,0,0,0,0,1,0,0,0,0,0,0,
谷中小学校,131067,東京都,台東区,東京都台東区谷中2-9-16,35.72387,139.765205,1,1,1,0,0,0,1,0,0,0,0,0,
忍岡小学校,131067,東京都,台東区,東京都台東区池之端2-1-22,35.714015,139.76692,1,1,1,0,0,0,1,0,0,0,0,0,
旧柳北小学校,131067,東京都,台東区,台東区浅草橋5-1-35,35.69954369,139.7825208,1,0,1,0,0,0,1,0,0,0,0,0,
松葉小学校,131067,東京都,台東区,東京都台東区松が谷1-13-16,35.7122307,139.786471,1,0,1,0,0,0,1,0,0,0,0,0,
東浅草小学校,131067,東京都,台東区,東京都台東区東浅草2-27-19,35.724439,139.798209,1,0,1,0,0,0,1,0,0,0,0,0,
柏葉中学校,131067,東京都,台東区,東京都台東区下谷3-1-29,35.723719,139.786217,1,0,1,0,0,0,1,0,0,0,0,0,
上野小学校,131067,東京都,台東区,東京都台東区東上野6-16-8,35.713586,139.783622,1,0,1,0,0,0,1,0,0,0,0,0,
田原小学校,131067,東京都,台東区,東京都台東区雷門1-5-14,35.709988,139.792782,1,0,1,0,0,0,1,0,0,0,0,0,
浅草小学校,131067,東京都,台東区,東京都台東区花川戸1-14-15,35.713529,139.799192,1,0,1,0,0,0,1,0,0,0,0,0,
千束小学校,131067,東京都,台東区,東京都台東区浅草4-24-11,35.719207,139.793993,1,0,1,0,0,0,1,0,0,0,0,0,
石浜小学校,131067,東京都,台東区,東京都台東区清川1-14-21,35.724929,139.80342,1,0,1,0,0,0,1,0,0,0,0,0,
東泉小学校,131067,東京都,台東区,東京都台東区三ノ輪1-23-9,35.7284975,139.792191,1,0,1,0,0,0,1,0,0,0,0,0,
浅草中学校,131067,東京都,台東区,東京都台東区蔵前1-3-4,35.699968,139.789963,1,0,1,0,0,0,1,0,0,0,0,0,
御徒町台東中学校,131067,東京都,台東区,東京都台東区台東4-13-16,35.70699,139.77744,1,0,1,0,0,0,1,0,0,0,0,0,
上野中学校,131067,東京都,台東区,東京都台東区上野桜木1-14-55,35.721164,139.774722,1,0,1,0,0,0,1,0,0,0,0,0,
蔵前小学校,131067,東京都,台東区,台東区蔵前4-19-11,35.70439432,139.7892641,1,0,1,0,0,0,1,0,0,0,0,0,
駒形中学校,131067,東京都,台東区,東京都台東区北上野2-15-1,35.717453,139.7842384,1,0,1,0,0,0,1,0,0,0,0,0,
谷中墓地,130001,東京都,,東京都台東区谷中、上野桜木,35.72402464,139.7716658,1,0,0,0,0,1,0,0,0,0,0,0,
上野公園一帯,130001,東京都,,東京都台東区上野公園、上野桜木、池之端,35.71356583,139.7722521,1,0,0,0,0,1,0,0,0,0,0,0,
隅田公園一帯,130001,東京都,,東京都台東区浅草、今戸、花川戸,35.71365034,139.8013117,0,0,0,0,0,1,0,0,0,0,0,0,
白鬚東地区,130001,東京都,,東京都墨田区堤通,35.73293494,139.8144505,0,0,0,0,0,1,0,0,0,0,0,0,
都営文花一丁目住宅一帯,130001,東京都,,東京都墨田区文花,35.70873718,139.8222338,0,0,0,0,0,1,0,0,0,0,0,0,
両国地区,130001,東京都,,東京都墨田区横網,35.69782953,139.7940685,0,0,0,0,0,1,0,0,0,0,0,0,
荒川・四ツ木橋緑地,130001,東京都,,東京都墨田区墨田、東墨田、八広,35.72908949,139.8295707,0,0,0,0,0,1,0,0,0,0,0,0,
墨田区役所・隅田公園自由広場一帯,130001,東京都,,東京都墨田区吾妻橋、向島,35.71440286,139.805418,0,0,0,0,0,1,0,0,0,0,0,0,
錦糸公園,130001,東京都,,東京都墨田区錦糸,35.69902324,139.8164268,0,0,0,0,0,1,0,0,0,0,0,0,
立花一丁目団地一帯,130001,東京都,,東京都墨田区立花,35.70524898,139.8302783,0,0,0,0,0,1,0,0,0,0,0,0,
大島・北砂団地一帯,130001,東京都,,東京都江東区大島、北砂,35.68653742,139.8298684,0,0,0,0,0,1,0,0,0,0,0,0,
公社南砂二丁目団地一帯,130001,東京都,,東京都江東区南砂,35.67193467,139.8231518,0,0,0,0,0,1,0,0,0,0,0,0,
辰巳団地・潮見運動公園一帯,130001,東京都,,東京都江東区潮見、辰巳,35.6483751,139.8123512,0,0,0,0,0,1,0,0,0,0,0,0,
猿江恩賜公園一帯,130001,東京都,,東京都江東区猿江、住吉、毛利,35.68937329,139.8183985,0,0,0,0,0,1,0,0,0,0,0,0,
亀戸・大島・小松川地区,130001,東京都,,東京都江東区大島、東京都江戸川区小松川、平井,35.689844,139.849468,0,0,0,0,0,1,0,0,0,0,0,0,
清澄庭園,130001,東京都,,東京都江東区清澄,35.67924103,139.7965705,0,0,0,0,0,1,0,0,0,0,0,0,
東京海洋大学一帯,130001,東京都,,東京都江東区越中島,35.66973148,139.7901338,0,0,0,0,0,1,0,0,0,0,0,0,
亀戸中央公園,130001,東京都,,東京都江東区亀戸,35.70080816,139.836783,0,0,0,0,0,1,0,0,0,0,0,0,
都営東砂二丁目住宅一帯,130001,東京都,,東京都江東区東砂,35.68477755,139.8432495,0,0,0,0,0,1,0,0,0,0,0,0,
木場公園一帯,130001,東京都,,東京都江東区木場、千石、東陽、平野、三好,35.67298936,139.8081887,0,0,0,0,0,1,0,0,0,0,0,0,
亀戸二丁目団地一帯,130001,東京都,,東京都江東区亀戸,35.70012865,139.82121,0,0,0,0,0,1,0,0,0,0,0,0,
南砂三丁目公園一帯,130001,東京都,,東京都江東区南砂,35.669926,139.832711,0,0,0,0,0,1,0,0,0,0,0,0,
日野学園,131091,東京都,品川区,東京都品川区東五反田2-11-1,35.624555,139.728325,0,0,0,0,1,0,0,0,1,1,0,1,
品川学園,131091,東京都,品川区,東京都品川区北品川3-9-30,35.61771,139.738086,0,1,0,0,1,0,0,0,1,1,1,1,
城南小学校,131091,東京都,品川区,東京都品川区南品川2-8-21,35.613329,139.742746,0,0,0,0,1,0,0,0,1,1,1,1,
城南第二小学校,131091,東京都,品川区,東京都品川区東品川3-4-5,35.61543,139.746151,0,0,0,0,1,0,0,0,0,1,0,0,
鮫浜小学校,131091,東京都,品川区,東京都品川区東大井2-10-14,35.601716,139.740669,0,0,0,0,1,0,0,0,0,1,0,1,
浜川小学校,131091,東京都,品川区,東京都品川区南大井4-3-27,35.59828,139.736203,0,0,1,0,1,0,0,0,0,1,0,0,
鈴ヶ森小学校,131091,東京都,品川区,東京都品川区南大井4-16-2,35.594478,139.735242,0,0,0,0,1,0,0,0,0,1,0,0,
台場小学校,131091,東京都,品川区,東京都品川区東品川1-8-30,35.620874,139.743779,0,0,0,0,1,0,0,0,1,1,1,1,
東海中学校,131091,東京都,品川区,東京都品川区東品川3-30-15,35.612621,139.748971,0,0,0,0,1,0,0,0,0,1,0,0,
浜川中学校,131091,東京都,品川区,東京都品川区東大井3-18-34,35.6002,139.737944,0,0,0,0,1,0,0,0,0,0,0,0,
鈴ヶ森中学校,131091,東京都,品川区,東京都品川区南大井2-3-14,35.592644,139.737731,0,0,0,0,1,0,0,0,0,1,0,0,
品川図書館,131091,東京都,品川区,東京都品川区北品川2-32-3,35.616935,139.742572,0,0,0,0,1,0,0,0,1,1,1,1,自動ドア・授乳室・オストメイト設備・ベビーベッド
東品川文化センター,131091,東京都,品川区,東京都品川区東品川3-32-10,35.612893,139.750593,0,0,0,0,1,0,0,0,0,0,0,0,
南大井文化センター,131091,東京都,品川区,東京都品川区南大井1-12-6,35.596293,139.737546,0,0,0,0,1,0,0,0,1,0,1,1,オストメイト設備・折りたたみシート（ベッド）
東品川児童センター,131091,東京都,品川区,東京都品川区東品川1-34-9,35.619128,139.74604,0,0,0,0,1,0,0,0,0,0,0,0,
北品川児童センター,131091,東京都,品川区,東京都品川区北品川2-7-21,35.618822,139.743962,0,0,0,0,1,0,0,0,0,0,0,0,
品川健康センター,131091,東京都,品川区,東京都品川区北品川3-11-22,35.616587,139.740732,0,0,0,0,1,0,0,0,0,0,0,0,
東品川職員待機寮,131091,東京都,品川区,東京都品川区東品川3-1-5,35.617173,139.747379,0,0,0,0,1,0,0,0,0,0,0,0,
北品川職員待機寮,131091,東京都,品川区,東京都品川区北品川3-11-17,35.616129,139.74006,0,0,0,0,1,0,0,0,0,0,0,0,
東大井職員待機寮,131091,東京都,品川区,東京都品川区東大井2-16-12,35.600547,139.741536,0,0,0,0,1,0,0,0,0,0,0,0,
南大井一丁目区営住宅,131091,東京都,品川区,東京都品川区南大井1-13-7,35.595309,139.737111,0,0,0,0,1,0,0,0,1,1,0,0,
南大井五丁目区営住宅,131091,東京都,品川区,東京都品川区南大井5-7-10,35.598028,139.734161,0,0,0,0,1,0,0,0,1,1,0,0,
南大井六丁目区営住宅,131091,東京都,品川区,東京都品川区南大井6-1-20,35.593164,139.731479,0,0,0,0,1,0,0,0,1,1,0,0,
東大井三丁目区営住宅,131091,東京都,品川区,東京都品川区東大井3-6-18.19,35.602861,139.739397,0,0,0,0,1,0,0,0,1,0,0,0,
